ArtCodigo,Precio Unit. Prom.
1031,2230.574
1032,2225.0624
1075,3821.0785
1079,2500.5554
16007,3923.1003
16039,3598.1076
16329,2488.2378
16330,3884.8742
17286,3823.1343
17297,2388.1009
17299,3552.2694
17569,3232.3387
17571,3141.5559
17572,3227.6231
17596,4954.1905
17597,2503.5199
17750,1429.3815
17958,2717.1973
17959,2735.0326
17971,3817.4694
18090,3102.2421
1811,5001.8657
1813,2546.6949
18160,2414.9031
18161,2424.0896
18162,2410.9453
1818,4946.5062
1821,2583.7272
18227,2545.3489
1836,4983.1731
18500,-1426.0177
18519,1440.2485
18520,1374.3137
1865,4953.1603
1867,2528.0296
18708,1438.2794
18800,1692.4772
18853,1549.8213
18854,1519.8782
18900,1651.8754
1918,2385.56
1957,3652.6896
19612,3227.7885
19798,1422.0619
19799,2640.508
19800,4138.1665
19825,2408.7854
19862,1943.9183
19863,1940.8702
19870,2527.1093
1989,2386.0463
20156,2216.1119
20443,1553.8446
20677,2418.1029
20678,2409.7291
20696,2767.241
20958,2792.3305
21034,4050.2563
21421,2387.0402
21423,3676.8448
21424,3678.8408
21613,2486.501
21614,2444.6902
21615,2492.2437
21616,2515.9928
21617,2493.9655
21618,2475.1859
21619,2552.5521
21648,4475.4472
21651,4526.7559
21711,3451.9373
21713,3444.086
22145,4070.314
22146,4482.4915
22632,5369.0549
22783,2979.3244
22795,2494.5713
22796,2491.653
23192,4425.2253
23855,315
24080,565.1627
24133,6860.8855
24213,2978.7106
24214,2975.8472
24513,2650.988
24514,2763.6307
24560,4097.4018
27151,3164.1176
27167,2456.8551
27168,2448.8391
27275,5846.0101
27276,5852.9379
27277,5834.5283
27278,5855.1051
27279,5843.1759
27281,2654.7078
27536,2529.4456
27928,4083.413
27936,311
27982,6879.5947
28080,3167.1286
28104,3725.5319
28109,2320.0509
28127,2610.0343
28513,2794.1019
29178,3885.9273
29179,3884.4687
29212,4082.4969
29284,826.6355
29285,818.4932
29286,822.5131
29316,4420.751
29317,4447.6688
29318,4435.5297
29319,4468.1303
29320,1319.2308
29332,2228.125
29357,2693.5515
29369,1375.3623
29389,3
29390,2532.9875
29471,2341.3043
29477,26
29498,3222.6463
29499,4001.6949
29618,4483.1468
29620,4055.046
29621,2027.7108
29622,2050.7853
29711,2616.7177
29712,2556.0835
29713,2586.704
29714,2605.0347
29715,2661.5329
29716,2672.6133
29717,2695.9928
29794,2062.9295
29861,2448.7029
29862,2448.8028
29863,2441.6889
29864,2583.4437
99698,1192.4156
99699,1246.9704
99700,1155.1906
